Año;Mes;Máx;Mín;Media
2010;Enero;38,49;33,63;35,58
2010;Febrero;35,66;32,04;34,11
2010;Marzo;32,03;26,88;29,40
2010;Abril;36,78;26,76;33,01
2010;Mayo;40,57;35,66;37,33
2010;Junio;42,10;36,41;38,69
2010;Julio;42,32;36,75;38,22
2010;Agosto;36,74;34,46;35,98
2010;Septiembre;34,46;31,23;32,41
2010;Octubre;36,36;29,20;30,67
2010;Noviembre;42,62;36,32;39,38
2010;Diciembre;42,47;37,37;39,47
2011;Enero;43,18;34,50;37,39
2011;Febrero;45,91;33,96;39,87
2011;Marzo;44,30;39,28;41,77
2011;Abril;45,04;38,16;41,38
2011;Mayo;44,87;36,62;38,38
2011;Junio;37,22;34,28;35,70
2011;Julio;41,45;33,76;36,29
2011;Agosto;41,26;35,66;37,78
2011;Septiembre;36,74;33,62;35,48
2011;Octubre;43,42;35,42;38,67
2011;Noviembre;44,16;35,93;39,81
2011;Diciembre;42,89;38,26;40,91
2012;Enero;44,31;37,68;40,95
2012;Febrero;44,31;38,38;40,40
2012;Marzo;44,22;36,63;39,51
2012;Abril;45,12;38,76;41,12
2012;Mayo;39,34;33,58;36,18
2012;Junio;35,19;34,57;34,89
2012;Julio;34,57;32,88;33,78
2012;Agosto;33,20;30,78;32,02
2012;Septiembre;30,83;28,82;29,95
2012;Octubre;42,15;28,41;34,67
2012;Noviembre;47,60;33,22;37,40
2012;Diciembre;41,93;36,56;37,89
2013;Enero;50,26;35,22;38,20
2013;Febrero;47,73;38,43;41,96
2013;Marzo;45,97;38,21;41,13
2013;Abril;41,70;38,47;39,82
2013;Mayo;46,05;38,96;41,71
2013;Junio;40,20;36,51;38,74
2013;Julio;36,51;34,48;35,47
2013;Agosto;33,37;30,98;32,09
2013;Septiembre;29,66;29,66;29,66
2013;Octubre;40,43;27,93;35,52
2013;Noviembre;46,89;36,55;40,37
2013;Diciembre;44,35;40,40;42,04
2014;Enero;46,55;39,75;41,87
2014;Febrero;45,66;25,60;42,36
2014;Marzo;48,80;41,49;44,97
2014;Abril;44,65;41,07;42,46
2014;Mayo;49,27;42,81;44,55
2014;Junio;44,03;42,05;43,29
2014;Julio;42,05;37,10;38,67
2014;Agosto;37,10;32,40;34,73
2014;Septiembre;34,50;29,80;31,29
2014;Octubre;47,30;30,20;36,08
2014;Noviembre;49,60;42,40;44,40
2014;Diciembre;48,10;42,20;44,44
2015;Enero;43,11;35,68;38,27
2015;Febrero;44,00;41,80;42,70
2015;Marzo;44,43;37,01;39,53
2015;Abril;56,00;43,30;44,10
2015;Mayo;43,40;40,40;42,10
2015;Junio;41,10;40,20;40,70
2015;Julio;40,30;37,60;38,60
2015;Agosto;37,90;33,50;35,80
2015;Septiembre;45,30;27,50;30,90
2015;Octubre;44,00;37,08;38,70
2015;Noviembre;49,00;32,90;39,70
2015;Diciembre;39,70;33,70;37,00
2016;Enero;46,90;32,80;41,04
2016;Febrero;42,10;35,40;38,52
2016;Marzo;45,70;34,60;39,57
2016;Abril;50,70;39,30;44,80
2016;Mayo;48,60;40,20;43,14
2016;Junio;44,80;40,10;41,89
2016;Julio;41,60;37,40;39,68
2016;Agosto;40,10;29,10;33,06
2016;Septiembre;46,10;30,50;34,28
2016;Octubre;50,80;30,50;39,42
2016;Noviembre;48,70;38,90;41,53
2016;Diciembre;51,60;42,50;44,91
2017;Enero;49,20;42,80;45,56
2017;Febrero;51,60;41,90;45,81
2017;Marzo;52,30;44,60;47,71
2017;Abril;51,70;44,70;47,11
2017;Mayo;50,10;44,30;47,02
2017;Junio;50,50;42,20;45,32
2017;Julio;44,30;38,10;40,79
2017;Agosto;45,40;33,60;36,40
2017;Septiembre;35,60;29,70;32,52
2017;Octubre;40,00;29,60;32,53
2017;Noviembre;48,90;34,20;40,26
2017;Diciembre;51,40;39,30;43,00
2018;Enero;52,20;41,50;44,97
2018;Febrero;51,70;40,70;44,26
2018;Marzo;49,90;39,80;43,61
2018;Abril;52,50;42,20;45,36
2018;Mayo;50,10;41,40;44,84
2018;Junio;44,10;38,10;40,60
2018;Julio;38,10;31,30;34,50
2018;Agosto;49,90;29,70;35,19
2018;Septiembre;31,00;27,20;28,55
2018;Octubre;45,70;27,00;34,75
2018;Noviembre;52,70;32,00;42,43
2018;Diciembre;52,70;37,80;43,70
2019;Enero;51,10;36,30;41,09
2019;Febrero;49,00;39,00;41,99
2019;Marzo;47,40;40,40;43,56
2019;Abril;52,80;41,90;44,82
2019;Mayo;50,50;40,60;43,17
2019;Junio;49,20;42,30;43,58
2019;Julio;42,50;36,90;39,74
2019;Agosto;36,90;31,60;34,10
2019;Septiembre;44,00;27,60;30,92
2019;Octubre;50,70;29,80;35,63
2019;Noviembre;48,80;38,40;41,97
2019;Diciembre;53,00;41,80;44,26
2020;Enero;48,00;40,00;43,00
2020;Febrero;53,00;38,00;42,00
2020;Marzo;53,00;41,00;44,00
2020;Abril;50,00;41,00;44,00
2020;Mayo;43,00;39,00;41,00
2020;Junio;46,00;40,00;43,00
2020;Julio;44,00;41,00;43,00
2020;Agosto;43,00;37,00;40,00
2020;Septiembre;49,00;35,00;39,00
2020;Octubre;49,00;37,00;40,00
2020;Noviembre;53,00;40,00;44,00
2020;Diciembre;53,00;46,00;47,00
